,BILL NO.,DATE,PRODUCT NAME,IT group,BRAND,DESING,COLOR,SIZE,QTY.,RATE,DIS. AMT.,SALE AMT.,PURCH AMT.,PURCH PARTY,year,month,day,item_type
0,G1,2019-04-01,M.BOXER,M.BOXER,RUNBUDDY,5019,ASTD,M,1.0,300.0,18.75,281.25,261.45,SHREE AAIJI MARKETING,2019,4,1,male
1,G1,2019-04-01,M.BOXER,M.BOXER,RUNBUDDY,5019,ASTD,L,-1.0,300.0,-18.75,-281.25,-261.45,SHREE AAIJI MARKETING,2019,4,1,male
2,G10,2019-04-01,M.BRIEF,M.BRIEF,U.S.POLO,I006,ASTD,L,1.0,160.0,9.95,150.05,147.8,VANKAWALA AGENCIES,2019,4,1,male
3,G11,2019-04-01,M.CAPRI,M.CAPRI,KANCHIRO,DENIM CAPRI,ASTD,L-XXL,1.0,680.0,82.88,597.12,638.4,M.G. GARMENT,2019,4,1,male
4,G11,2019-04-01,L.BRA,L.BRA,SHERRY,888,ASTD,34,1.0,270.0,32.66,237.34,234.51,PARUL HOSIERY,2019,4,1,female
5,G11,2019-04-01,M.TRUNK,M.TRUNK,U.S.POLO,I641,ASTD,L,1.0,190.0,23.3,166.7,177.5,VANKAWALA AGENCIES,2019,4,1,male
6,G11,2019-04-01,M.BRIEF,M.BRIEF,VANHEUSEN,0007,ASTD,L,1.0,340.0,41.83,298.17,313.17,RIVA FASHION,2019,4,1,male
7,G2,2019-04-01,M.TRUNK,M.TRUNK,SAJANI,CD,ASTD,85,-1.0,70.0,-4.25,-65.75,-62.71,SANDIP HOSIERY INDUSTRIES,2019,4,1,male
8,G2,2019-04-01,M.TRUNK,M.TRUNK,SAJANI,CD,ASTD,90,1.0,70.0,4.25,65.75,62.71,SANDIP HOSIERY INDUSTRIES,2019,4,1,male
9,G3,2019-04-01,L.BRIEF,L.BRIEF,JOCKEY,1410,ASTD,L,1.0,310.0,19.45,290.55,273.96,RIDHAAN ENTERPRISE,2019,4,1,female
10,G3,2019-04-01,L.BRIEF,L.BRIEF,JOCKEY,1410,ASTD,XXL,1.0,320.0,19.95,300.05,280.99,RIDHAAN ENTERPRISE,2019,4,1,female
11,G4,2019-04-01,WALLET,WALLET,-,400,-,-,1.0,220.0,40.5,179.5,170.0,BABA TRADERES,2019,4,1,other
12,G4,2019-04-01,L.NIGHTY,L.NIGHTY,SAJANI,FULL,ASTD,L,1.0,520.0,126.09,393.91,514.62,SANDIP HOSIERY INDUSTRIES,2019,4,1,female
13,G5,2019-04-01,M.TRUNK,M.TRUNK,JOCKEY,IC28,ASTD,XL,1.0,390.0,47.29,342.71,360.19,NETCOMM INFOSYS,2019,4,1,male
14,G5,2019-04-01,M.TRUNK,M.TRUNK,JOCKEY,IC28,ASTD,XL,1.0,360.0,44.27,315.73,337.18,NETCOMM INFOSYS,2019,4,1,male
15,G5,2019-04-01,M.TRACKPANT,M.TRACKPANT,VANHEUSEN,50054,ASTD,S-L,1.0,960.0,116.9,843.1,786.85,HR FASHION,2019,4,1,male
